[INFO] [launch]: All log files can be found below /home/drone/.ros/log/2026-07-17-18-21-50-321939-drone-ASUS-TUF-Gaming-F15-FX507VV-FX507VV-57895
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [57896]
[mavros_node-1] [INFO] [1784308910.426785583] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1784308910.426834168] [mavros.mavros_node]: FCU URL: udp://:14540@127.0.0.1:14557
[mavros_node-1] [INFO] [1784308910.426840547] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1784308910.426847720] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1784308910.426851805] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1784308910.430440507] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1784308910.430455184] [mavros.mavros_router]: Built-in MAVLink package version: 2026.3.3
[mavros_node-1] [INFO] [1784308910.430463745] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1784308910.430468270] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1784308910.430499603] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1784308910.448508042] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@127.0.0.1:14557
[mavros_node-1] [INFO] [1784308910.448541081] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1784308910.448852070] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1784308910.448869532] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1784308910.448883319] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1784308910.449880442] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1784308910.451954271] [mavros.mavros_router]: link[1000] detected remote address 1.1
[mavros_node-1] [INFO] [1784308910.458564319] [mavros.mavros]: UAS Executor started, threads: 16
[mavros_node-1] [INFO] [1784308910.466853505] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1784308910.466881863] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1784308910.477917258] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1784308910.477945173] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1784308910.480578157] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1784308910.480601233] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1784308910.483284531] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1784308910.483311510] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1784308910.486020207] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1784308910.486046286] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1784308910.488953967] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1784308910.488972130] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1784308910.493969495] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1784308910.493991508] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1784308910.497189319] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1784308910.497219062] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1784308910.500904963] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1784308910.500936418] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1784308910.500941468] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1784308910.504389906] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1784308910.504412999] [mavros.mavros]: Plugin esc_status initialized
