[INFO] [launch]: All log files can be found below /home/drone/.ros/log/2026-07-17-21-34-32-935787-drone-ASUS-TUF-Gaming-F15-FX507VV-FX507VV-71625
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [71626]
[mavros_node-1] [INFO] [1784320473.037299906] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1784320473.037343833] [mavros.mavros_node]: FCU URL: udp://:14540@127.0.0.1:14557
[mavros_node-1] [INFO] [1784320473.037348486] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1784320473.037351372] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1784320473.037354142] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1784320473.040381720] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1784320473.040395016] [mavros.mavros_router]: Built-in MAVLink package version: 2026.3.3
[mavros_node-1] [INFO] [1784320473.040402492] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1784320473.040405993] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1784320473.040431846] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1784320473.057752616] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@127.0.0.1:14557
[mavros_node-1] [INFO] [1784320473.057780006] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1784320473.058009208] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1784320473.058017487] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1784320473.058025657] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1784320473.058888636] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1784320473.061368666] [mavros.mavros_router]: link[1000] detected remote address 1.1
[mavros_node-1] [INFO] [1784320473.067868125] [mavros.mavros]: UAS Executor started, threads: 16
[mavros_node-1] [INFO] [1784320473.075794324] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1784320473.075822116] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1784320473.086547488] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1784320473.086568149] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1784320473.088881636] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1784320473.088900878] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1784320473.091301357] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1784320473.091319189] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1784320473.093794763] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1784320473.093813193] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1784320473.096278977] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1784320473.096321241] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1784320473.100156534] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1784320473.100179055] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1784320473.102871611] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1784320473.102886616] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1784320473.106003822] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1784320473.106029008] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1784320473.106034138] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1784320473.109019102] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1784320473.109038910] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1784320473.112007462] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1784320473.112028669] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1784320473.115568610] [mavros.mavros]: Plugin fake_gps created
